appid,name,primary_genre,price_usd,release_year,reviews_total,log_reviews
5,Counter-Strike,Action,9.99,2000.0,162764.0,12.000062721722419
7,Team Fortress Classic,Action,4.99,1999.0,6686.0,8.80792062205398
8,Day of Defeat,Action,4.99,2003.0,4327.0,8.372860820526318
10,Deathmatch Classic,Action,4.99,2001.0,2349.0,7.762170607138205
20,Half-Life: Opposing Force,Action,4.99,1999.0,23049.0,10.045421048424794
30,Ricochet,Action,4.99,2000.0,4393.0,8.387995252944556
40,Half-Life,Action,9.99,1998.0,107922.0,11.589173288864432
50,Counter-Strike: Condition Zero,Action,9.99,2004.0,20256.0,9.916255691813806
70,Half-Life: Blue Shift,Action,4.99,2001.0,16993.0,9.740615619563487
92,Half-Life 2,Action,9.99,2004.0,186225.0,12.13471626887836
100,Counter-Strike: Source,Action,9.99,2004.0,129289.0,11.7698132222486
130,Half-Life: Source,Action,9.99,2004.0,14219.0,9.562404703357231
150,Day of Defeat: Source,Action,9.99,2010.0,15508.0,9.649175779559453
211,Half-Life Deathmatch: Source,Action,9.99,2006.0,4052.0,8.307212626628308
218,Portal,Action,9.99,2007.0,159356.0,11.978902247340022
260,Left 4 Dead,Action,9.75,2008.0,54276.0,10.901855843445738
280,Left 4 Dead 2,Action,9.99,2009.0,760032.0,13.541117132372479
304,Portal 2,Action,22.49,2011.0,370045.0,12.821382601217103
400,Red Orchestra: Ostfront 41-45,Action,4.99,2006.0,1474.0,7.29641326877392
420,Killing Floor,Action,19.99,2009.0,39184.0,10.576049299486964
458,SiN Episodes: Emergence,Action,9.99,2006.0,969.0,6.877296071497429
459,SiN: Gold,Action,9.99,2020.0,350.0,5.860786223465865
480,Darwinia,Indie,11.99,2005.0,753.0,6.625392368007956
510,Uplink,Indie,11.99,2006.0,1719.0,7.450079569807499
513,DEFCON,Indie,11.99,2006.0,3371.0,8.123261319121745
530,Multiwinia,Indie,11.99,2008.0,397.0,5.986452005284438
550,Dangerous Waters,Strategy,4.49,2006.0,330.0,5.802118375377063
560,Space Empires IV Deluxe,Strategy,3.99,2006.0,248.0,5.517452896464707
564,Disciples II: Rise of the Elves ,Strategy,1.19,2006.0,1208.0,7.097548850614793
565,Disciples II: Gallean's Return,Strategy,1.19,2006.0,1404.0,7.247792581767846
570,Iron Warriors: T-72 Tank Command ,Strategy,5.99,2006.0,260.0,5.564520407322694
575,Space Empires V,Strategy,3.99,2006.0,402.0,5.998936561946683
576,Arx Fatalis,RPG,4.99,2007.0,2161.0,7.6787889981991535
583,Earth 2160,Strategy,9.99,2006.0,728.0,6.591673732008658
585,Two Worlds Epic Edition,RPG,14.99,2009.0,2523.0,7.8336002236611035
586,Dark Messiah of Might & Magic,Action,4.99,2006.0,8671.0,9.067854723679428
620,Quake III Arena,Action,14.99,2007.0,3244.0,8.08487062913819
629,Quake 4,Action,14.99,2011.0,2802.0,7.938445551164788
630,Wolfenstein 3D,Action,4.99,2007.0,3498.0,8.160232492367689
635,DOOM + DOOM II,Action,9.99,2007.0,23045.0,10.04524749757396
640,Quake,Action,9.99,2007.0,12541.0,9.436838291102966
644,Quake II,Action,9.99,2007.0,7862.0,8.969923491991516
650,The Ship: Murder Party,Action,9.99,2006.0,2558.0,7.847371836159788
652,Bloody Good Time,Action,4.99,2010.0,918.0,6.823286122355687
653,Shadowgrounds,Action,1.04,2006.0,1197.0,7.088408778675395
659,Gumboy - Crazy Adventures™,Casual,4.99,2006.0,106.0,4.672828834461906
660,RIP - Trilogy™,Casual,4.99,2007.0,244.0,5.501258210544727
669,Alpha Prime,Action,4.99,2007.0,815.0,6.704414354964107
730,Vampire: The Masquerade - Bloodlines,Action,19.99,2007.0,12954.0,9.46923709299621
740,GUN™,Action,19.99,2006.0,1918.0,7.5595594960077
745,Call of Duty® (2003),Action,19.99,2006.0,6647.0,8.802071336535285
753,Call of Duty® 2,Action,19.99,2006.0,8509.0,9.04899722156742
754,Call of Duty: United Offensive,Action,19.99,2006.0,2072.0,7.636752112435779
761,Act of War: Direct Action,Action,2.99,2008.0,530.0,6.274762021241939
854,X2: The Threat,Strategy,4.99,2006.0,424.0,6.052089168924417
900,X3: Reunion,Strategy,9.99,2006.0,560.0,6.329720905522696
901,X3: Terran Conflict,Action,15.99,2008.0,2043.0,7.622663951323595
902,X: Beyond the Frontier,Simulation,4.99,2010.0,275.0,5.62040086571715
904,X Rebirth,Action,29.99,2013.0,5136.0,8.544224530467268
905,688(I) Hunter/Killer,Strategy,4.99,2006.0,199.0,5.298317366548036
906,Fleet Command,Strategy,4.99,2006.0,446.0,6.102558594613569
907,Sub Command,Strategy,4.99,2006.0,130.0,4.875197323201151
909,FlatOut 2,Racing,7.99,2006.0,17029.0,9.742731773656734
912,Xpand Rally,Racing,0.54,2006.0,502.0,6.220590170099739
913,Call of Juarez,Action,1.99,2007.0,3390.0,8.128880142125638
914,Xpand Rally Xtreme,Racing,0.54,2008.0,354.0,5.872117789475416
915,Men of War: Red Tide,Strategy,4.99,2009.0,700.0,6.55250788703459
916,King's Bounty: Armored Princess,RPG,9.99,2009.0,1029.0,6.937314081223682
919,Genesis Rising,Strategy,4.99,2007.0,129.0,4.867534450455582
920,Safecracker: The Ultimate Puzzle Adventure,Adventure,4.99,2007.0,434.0,6.075346031088684
921,Painkiller Overdose,Action,4.99,2007.0,891.0,6.79346613258001
923,Bejeweled 2 Deluxe,Casual,4.99,2006.0,614.0,6.421622267806518
925,Chuzzle Deluxe,Casual,4.99,2006.0,1238.0,7.122059881629142
927,Insaniquarium Deluxe,Casual,4.99,2006.0,5784.0,8.663023639627777
929,Zuma Deluxe,Casual,4.99,2006.0,5490.0,8.610865667278873
931,AstroPop Deluxe,Casual,4.99,2006.0,112.0,4.727387818712341
933,Bejeweled Deluxe,Casual,4.99,2006.0,273.0,5.6131281063880705
935,Big Money! Deluxe,Casual,4.99,2006.0,171.0,5.147494476813453
937,Dynomite Deluxe,Casual,4.99,2006.0,344.0,5.84354441703136
939,Feeding Frenzy 2 Deluxe,Casual,4.99,2006.0,2190.0,7.692113339595466
942,Heavy Weapon Deluxe,Casual,4.99,2006.0,375.0,5.929589143389895
946,Pizza Frenzy Deluxe,Casual,4.99,2006.0,206.0,5.332718793265369
948,Typer Shark! Deluxe,Casual,4.99,2006.0,398.0,5.988961416889864
953,Peggle Deluxe,Casual,4.99,2007.0,10401.0,9.249753374333018
965,Peggle™ Nights,Casual,4.99,2008.0,2525.0,7.8343923029104365
966,Bejeweled Twist,Casual,4.99,2008.0,527.0,6.269096283706261
972,Plants vs. Zombies GOTY Edition,Strategy,4.99,2009.0,133115.0,11.79897620752666
974,Escape Rosecliff Island,Casual,4.99,2009.0,160.0,5.081404364984463
978,Zuma's Revenge!,Action,4.99,2009.0,2708.0,7.904334842085095
980,Sniper Elite,Action,7.99,2009.0,3371.0,8.123261319121745
981,Judge Dredd: Dredd vs. Death,Action,7.99,2009.0,1049.0,6.956545443151569
982,Evil Genius,Strategy,9.99,2009.0,2986.0,8.00202481821611
983,Aliens versus Predator Classic 2000,Action,4.99,2010.0,2394.0,7.781138509845015
984,Advent Rising,Action,9.99,2006.0,399.0,5.991464547107982
987,Psychonauts,Action,9.99,2006.0,11528.0,9.352620879232953
991,Sid Meier's Civilization® IV,Strategy,19.99,2006.0,2623.0,7.8724551500639794
992,Sid Meier's Civilization® III Complete,Strategy,4.99,2006.0,5364.0,8.587651655064798
994,Sid Meier's Pirates!,RPG,9.99,2005.0,5789.0,8.663887570567042
995,Shattered Union,Strategy,4.99,2006.0,147.0,4.997212273764115
997,CivCity: Rome,Strategy,9.99,2007.0,765.0,6.641182169740591
998,Civilization IV®: Warlords,Strategy,4.99,2007.0,366.0,5.905361848054571
999,Garry's Mod,Casual,9.99,2006.0,1021788.0,13.83706557050478
1250,Silverfall,RPG,0.74,2007.0,139.0,4.941642422609304
1256,City Life 2008,Simulation,0.99,2008.0,227.0,5.429345628954441
1259,S.T.A.L.K.E.R.: Shadow of Chernobyl,Action,19.99,2007.0,37541.0,10.533215585226419
1260,Full Spectrum Warrior,Action,9.99,2007.0,265.0,5.583496308781699
1270,Full Spectrum Warrior: Ten Hammers,Action,9.99,2007.0,201.0,5.308267697401205
1273,Company of Heroes - Legacy Edition,Action,14.99,2007.0,4655.0,8.445911989411274
1280,"Warhammer 40,000: Dawn of War - Anniversary Edition",Strategy,9.89,2007.0,8441.0,9.040974526342444
1306,Total War: MEDIEVAL II – Definitive Edition,Strategy,24.99,2006.0,25638.0,10.151869908713964
1317,Condemned: Criminal Origins,Action,14.95,2012.0,2816.0,7.943427767876373
1502,Medieval II: Total War™ Kingdoms,Strategy,24.99,2007.0,541.0,6.295266001439646
1507,Heroes of Annihilated Empires,Strategy,7.99,2006.0,545.0,6.302618975744905
1522,Cossacks: Back to War,Strategy,4.99,2010.0,2506.0,7.826842098158293
1525,Cossacks: Art of War,Strategy,4.99,2011.0,302.0,5.713732805509369
1528,Cossacks: European Wars,Strategy,4.99,2011.0,508.0,6.2324480165505225
1530,Cossacks II: Battle for Europe,Strategy,4.99,2011.0,983.0,6.891625897052253
1535,Natural Selection 2,Action,4.99,2012.0,8525.0,9.050875597325156
1540,STAR WARS™ Republic Commando™,Action,9.99,2009.0,13981.0,9.54552606707193
1600,Indiana Jones® and the Fate of Atlantis™,Adventure,5.99,2009.0,1312.0,7.180069874302796
1610,STAR WARS™ Jedi Knight - Jedi Academy™,Action,9.99,2009.0,10957.0,9.301825062098361
1620,STAR WARS™ Jedi Knight II - Jedi Outcast™,Action,9.99,2009.0,3904.0,8.270013062273787
1630,The Dig®,Adventure,5.99,2009.0,1101.0,7.004881989712859
1635,"STAR WARS™ Battlefront II (Classic, 2005)",Action,9.99,2009.0,45772.0,10.73144967661659
1640,Thrillville®: Off the Rails™,Action,9.99,2009.0,771.0,6.648984550024776
1645,Armed and Dangerous®,Action,5.99,2009.0,264.0,5.579729825986222
1670,Shank,Action,9.99,2010.0,2858.0,7.958227192322312
1700,Ghost Master®,Strategy,0.99,2006.0,1670.0,7.421177528595393
1710,Vegas: Make It Big™,Strategy,4.99,2006.0,135.0,4.912654885736052
1840,FlatOut,Action,6.99,2007.0,5025.0,8.522379718103538
1920,Making History: The Calm & the Storm,Action,0.79,2007.0,545.0,6.302618975744905
2100,Ducati World Championship,Racing,0.79,2007.0,157.0,5.062595033026967
2114,Dreamfall: The Longest Journey,Adventure,19.99,2007.0,1032.0,6.940222469119639
2115,The Longest Journey,Action,9.99,2007.0,1786.0,7.488293515159428
2145,Joint Task Force,Action,7.99,2007.0,260.0,5.564520407322694
2200,Nexus - The Jupiter Incident,Indie,9.99,2007.0,930.0,6.836259277277067
2210,Lost Planet™: Extreme Condition,Action,14.99,2007.0,1676.0,7.424761761823209
2310,Commandos: Behind Enemy Lines,Action,4.99,2007.0,3329.0,8.110727582974489
2320,Commandos: Beyond the Call of Duty,Action,4.99,2007.0,906.0,6.810142450115136
2350,Commandos 2: Men of Courage,Strategy,4.99,2007.0,2324.0,7.751475318021456
2400,Commandos 3: Destination Berlin,Action,4.99,2007.0,915.0,6.82001636467413
2403,Hitman 2: Silent Assassin,Action,4.99,2007.0,3365.0,8.121480374750751
2410,Hitman: Blood Money,Action,5.79,2007.0,12404.0,9.425854896125902
2413,Battlestations: Midway,Action,6.99,2007.0,825.0,6.716594773520978
2420,Just Cause,Action,5.49,2007.0,4314.0,8.36985260351753
2430,Hitman: Codename 47,Action,0.44,2007.0,3788.0,8.239857411018601
2450,Deus Ex: Game of the Year Edition,Action,6.99,2007.0,13092.0,9.479833015227753
2460,Deus Ex: Invisible War,Action,6.99,2007.0,2076.0,7.638679823876112
2520,Thief: Deadly Shadows,Action,8.99,2007.0,2251.0,7.719573989259581
2525,Tomb Raider: Legend,Action,6.99,2007.0,4889.0,8.494947582468917
2530,Project: Snowblind,Action,5.99,2007.0,658.0,6.490723534502507
2540,Rogue Trooper,Action,9.99,2007.0,465.0,6.144185634125646
2590,Jade Empire™: Special Edition,RPG,19.99,2007.0,1777.0,7.48324441607385
2600,Trackmania United Forever,Racing,29.99,2008.0,2374.0,7.772752716468742
2610,"Runaway, A Road Adventure",Adventure,0.74,2007.0,627.0,6.4425401664681985
2620,"Runaway, The Dream of The Turtle",Adventure,0.74,2007.0,308.0,5.733341276897746
2630,Loki,RPG,9.99,2007.0,208.0,5.342334251964811
2720,X-Blades,Nudity,12.99,2009.0,1016.0,6.92461239604856
2724,Two Worlds II HD,RPG,24.5,2011.0,3793.0,8.24117615049496
2725,Two Worlds II Castle Defense,Strategy,9.99,2011.0,302.0,5.713732805509369
2726,Sid Meier's Railroads!,Strategy,9.99,2007.0,2498.0,7.823645930834952
2730,Railroad Tycoon 3,Strategy,9.99,2007.0,1068.0,6.974478911025045
2740,Railroad Tycoon II Platinum,Strategy,4.99,2007.0,1282.0,7.1569563646156364
2760,X-COM: Terror From the Deep,Strategy,4.99,2007.0,723.0,6.584791392385716
2767,X-COM: Apocalypse,Strategy,4.99,2008.0,815.0,6.704414354964107
2768,BioShock™,Action,4.99,2007.0,24428.0,10.103526230135241
2790,X-COM: Interceptor,Strategy,4.99,2008.0,155.0,5.049856007249537
2810,X-COM: UFO Defense,Strategy,4.99,2008.0,3094.0,8.037543185118697
2820,X-COM: Enforcer,Strategy,4.99,2008.0,300.0,5.707110264748875
2827,Stubbs the Zombie in Rebel Without a Pulse,Action,19.99,2021.0,1596.0,7.3758821482150125
2850,Men of War™,Strategy,4.99,2009.0,3170.0,8.061802274538348
2870,NecroVision,Action,4.99,2009.0,1285.0,7.1592919047975645
2950,Call of Duty® 4: Modern Warfare® (2007),Action,19.99,2007.0,20691.0,9.937502431123406
3010,Tomb Raider: Anniversary,Action,8.99,2007.0,6137.0,8.722254235179681
3130,Conflict: Denied Ops,Action,5.99,2008.0,391.0,5.971261839790462
3150,Tomb Raider: Underworld,Action,8.99,2008.0,5662.0,8.641709066113805
3200,Just Cause 2,Action,14.99,2010.0,40471.0,10.608365655971772
3220,Telltale Texas Hold ‘Em,Casual,0.99,2008.0,192.0,5.262690188904886
3230,Geometry Wars: Retro Evolved,Casual,3.99,2007.0,974.0,6.882437470997847
3270,RACE 07,Racing,7.99,2007.0,1221.0,7.108244139731541
3330,GTR 2 FIA GT Racing Game,Racing,7.99,2012.0,257.0,5.552959584921617
3332,Civilization IV: Beyond the Sword,Strategy,9.99,2007.0,3608.0,8.19118600464279
3350,BioShock® 2,Action,2.99,2010.0,11126.0,9.3171298661577
3352,BioShock Infinite,Action,7.49,2013.0,107012.0,11.580705601391186
3360,Freedom Force,RPG,4.99,2009.0,427.0,6.059123195581797
3362,Freedom Force vs. the Third Reich,RPG,4.99,2009.0,243.0,5.497168225293202
3380,Sid Meier's Civilization® V,Strategy,29.99,2010.0,125453.0,11.739694436499478
3390,Borderlands Game of the Year,Action,29.99,2023.0,20828.0,9.944101525421383
3392,Borderlands: The Zombie Island of Dr. Ned,Action,29.99,2009.0,437.0,6.082218910376446
3400,Return to Castle Wolfenstein,Action,4.99,2007.0,7445.0,8.915432254432663
3410,HeXen II,Action,4.99,2007.0,539.0,6.29156913955832
3420,Commander Keen,Action,4.99,2007.0,1415.0,7.255591274253665
3422,RAGE,Action,9.99,2011.0,11860.0,9.381010986029276
3442,Company of Heroes: Opposing Fronts,Action,19.99,2007.0,773.0,6.651571873589727
3450,Supreme Commander,Strategy,9.99,2011.0,2194.0,7.693937325509272
3460,Supreme Commander: Forged Alliance,Strategy,12.99,2011.0,9411.0,9.149740749847252
3470,Frontlines™: Fuel of War™,Action,19.99,2008.0,847.0,6.742880635791903
3472,Saints Row 2,Action,1.49,2009.0,12085.0,9.399803036921504
3480,Gish,Action,9.99,2007.0,290.0,5.673323267171493
3483,Desperados 2: Cooper's Revenge,Action,9.99,2008.0,239.0,5.480638923341991
3490,Tycoon City: New York,Simulation,9.99,2008.0,223.0,5.4116460518550396
3500,Act of War: High Treason,Action,2.99,2008.0,462.0,6.137727054086234
3502,Death to Spies,Action,4.99,2008.0,755.0,6.628041376179533
3510,Codename: Panzers - Cold War,Simulation,14.99,2009.0,214.0,5.3706380281276624
3530,Blade Kitten,Action,2.99,2014.0,904.0,6.807934943699926
3572,Call of Duty: World at War,Action,19.99,2008.0,43939.0,10.690580345938601
3580,King's Quest™ Collection,Adventure,19.99,2009.0,303.0,5.717027701406222
3582,Space Quest™ Collection,Adventure,19.99,2009.0,311.0,5.7430031878094825
3592,TimeShift™,Action,19.99,2009.0,1073.0,6.97914527506881
3599,3D Ultra™ Minigolf Adventures,Sports,9.99,2009.0,112.0,4.727387818712341
